,_id_x,id,page_source,link,title,content,address_street,address_ward,surrounding,surrounding_name,surrounding_characteristics,interior_room,project,address_city,address_district,transaction_type,realestate_type,price_sell,price_rent,legal,floor,position_street,potential,area_origin,address_number,lat_x,long_x,coordinate,price_m2,orientation,area_cal,post_id,post_date,crawled_date,created_at,price_score,price_score_filter,geom,status_price_score,price_score_timestamp,comment_id,comment_filter_id,is_suspicious,created_by,contact_phone,hash_post_key,number_duplicated_post,orientation_id,done,label_cluster,_id_y,index,lat_y,long_y,district_name
552,604330ec886de23638253f51,86047,6,https://landber.com/tin-dang/Ads_01_23479870,"Nhà 4x16m (4 tấm) HXH 477/ Đất Mới, P Bình Trị Đông A, Q Bình Tân","Nhà HXH 477 Đất Mới, p Bình Trị Đông A, q Bình Tân.
- DT 4x16m (4 tấm) DTCN 64m2 sàn 216m2.

- Nhà hướng chính bắc, hẻm 6m thông Lê Văn Quới, sát chợ gần ngã 4 Bốn Xã, vào ở ngay.
- Giá 5,8 tỷ TL.

- LH 0777757558 (Tuấn nhỏ).",Đất Mới,bình trị đông a,"chợ, ngã 4","Lê Văn Quới, ngã tư Bốn Xã",,4 phòng ngủ,HXH 477,1.0,2.0,1.0,2.0,5800000000,0,2.0,1.0,3.0,{2},"{4,16}",477.0,10.7673499776161,106.60939292483101,"(106.609392924831,10.7673499776161)",62993778.1621869,bắc,64.0,Ads_01_23479870,1573837200,1574025166.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E6100000E5A32E4B00A75A402EE5A418E2882540,1.0,2020-04-13 12:17:01.91245,1,8.0,False,2.0,777757558.0,a09804e24cf3594b8aa5646bfe34dea0,1.0,,2.0,0.0,60484e265b19110d9fc66384,0,10.7380082,106.6163514,Quận Bình Tân
553,604330ec886de23638253f52,516008,2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/chuyen-nhuong-can-nha-tai-hem-230-6-ma-lo-binh-tan-dt-50m2-2-lau-id20650457,"Chuyển nhượng căn nhà tại hẻm 230/6 mã lò, bình tân, dt: 50m2, 2 lầu.","
Bán nhanh căn nhà tại hẻm 230/6/ Mã Lò, Bình Trị Đông A, Bình Tân.
- Diện tích: 5m x 10m, 2 lầu, 4 phòng ngủ, 4 wc, nhà mới dọn vào ở liền, nội thất đầy đủ tiện nghi. Khu dân cư cao tầng, có gắn camera an ninh. phù hợp với gia đình ở.
- Gía: 5.5 tỷ.
- Hẻm nhựa 6m
- Tiện ích: Gần trung tâm siêu thị thương mại Aeon Mall Bình Tân., trường học, bệnh viện.
- Lh: 0934196986 Vương Nguyễn
",Mã Lò, bình trị đông a,"siêu thị thương mại, trường học, bệnh viện",siêu thị thương mại Aeon Mall Bình Tân,an ninh,4,,1.0,2.0,1.0,2.0,5500000000,0,3.0,3.0,3.0,{2},"{0,0}",38.0,10.7680305982648,106.60359434281601,"(106.603594342816,10.7680305982648)",54685667.4442873,,50.0,mogi_20650457,1583427600,1583457027.0,2020-03-06 08:11:01.60806,2.0,3.6,0101000020E61000009A9C2A4AA1A65A40BEBF7B4E3B892540,1.0,2020-04-13 11:06:03.638892,1,8.0,False,2.0,934196986.0,7f5ccdf3c0fe52289cdb9665d9d3aab6,1.0,,0.0,0.0,60484e265b19110d9fc66385,0,10.7857697,106.5984284,Quận Bình Tân
554,604330ec886de23638253f58,133806,6,https://landber.com/tin-dang/Ads_01_23438339,"Tòa nhà mặt tiền 691 Kinh Dương Vương, An Lạc, Bình Tân gần Tên Lửa","Tòa nhà mặt tiền 691 Kinh Dương Vương, An Lạc, Bình Tân gần Tên Lửa.
- DT: 17.8m x 44m, nở hậu 23.5m, trệt, 5 lầu, DTKV: 790m2. Toà nhà mặt tiền 691 Kinh Dương Vương, An Lạc, Bình Tân gần Tên Lửa.

- DT: 17.8m x 44m, nở hậu 23.5m, trệt, 5 lầu, DTKV: 790m2.
- Vị trí gần Tên Lửa, gần chợ, bến xe, trường học.

- Khu kinh doanh buôn bán sầm uất.
- Tiện làm trường học, bệnh viện, cho thuê.
- Giá: 116 tỷ.
- LH: 0937 99 99 26.",Kinh Dương Vương,an lạc,"chợ, bến xe, trường học","Tên Lửa, Kinh Dương Vương, Tên Lửa, Tên Lửa, Tên Lửa",sầm uất,,691,1.0,2.0,1.0,2.0,116000000000,0,2.0,6.0,1.0,"{2,1}","{17.8,44}",691.0,10.7394246043929,106.617281470667,"(106.617281470667,10.7394246043929)",126746217.983823,,790.0,Ads_01_23438339,1573578000,1573994787.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E6100000243C248A81A75A404E739BDC957A2540,1.0,2020-04-13 06:23:01.506405,2,7.0,False,3.0,937999926.0,596e50de7775c8a78668580932547129,1.0,,2.0,0.0,60484e265b19110d9fc66386,0,10.7293923,106.6093808,Quận Bình Tân
555,604330ec886de23638253f61,136606,6,https://landber.com/tin-dang/Ads_01_23277530,"Bán nhà 1 trệt 1 lầu diện tích 4x12m, đường Bùi Tư Toàn giá 3,35 tỷ","Bán nhà 1 trệt 1 lầu diện tích 4x12m đường Bùi Tư Toàn giá 3.35 tỷ.
Cần tiền bán căn nhà trong hẻm 36 đường Bùi Tư Toàn gần chợ diện tích 4x12m diện tích sàn 81m2, hiện trạng nhà còn rất tốt mua xong ở ngay không cần sửa chữa. Đường trước nhà 4m thông thoáng, nay cần tiền nên bán với giá 3,35 tỷ thương lượng ai có nhu cầu xem nhà xin gọi số 0918 688 067.",Bùi Tư Toàn,an lạc,chợ,,,,Hẻm 36,1.0,2.0,1.0,2.0,3350000000,0,2.0,2.0,3.0,{2},"{4,12}",36.0,10.732524840654,106.615844067211,"(106.615844067211,10.732524840654)",62383205.8870035,,48.0,Ads_01_23277530,1573491600,1573992970.0,2020-02-12 08:49:25.145194,2.2,3.6,0101000020E6100000D1063CFD69A75A40BA3BF47E0D772540,1.0,2020-04-13 04:09:01.797602,2,7.0,False,2.0,918688067.0,93dbd60588244235d96c50b294eb5f4c,1.0,,2.0,0.0,60484e265b19110d9fc66387,0,10.7319409,106.613957,Quận Bình Tân
556,604330ec886de23638253f65,410888,8,https://homedy.com/ban-nha-hem-xe-hoi-363-dat-moi-binh-hung-hoa-a-binh-tan-4mx18m-xay-dung-35-tam-es1176762,"Bán nhà hẻm xe hơi 363 Đất Mới, Bình Hưng Hòa A, Bình Tân, 4mx18m, xây dựng 3,5 tấm","Bán nhà hẻm xe hơi 363 Đất Mới, Bình Hưng Hòa A, Bình Tân, 4mx18m, xây dựng 3,5 tấm.

Nhà đẹp mua vào ở liền, giấy tở pháp lý rõ ràng, khu dân trí, gần chợ , giá bán 4.4 tỷ.",Đất Mới,bình hưng hòa a,chợ,,dân trí,,,1.0,2.0,1.0,2.0,4400000000,0,2.0,1.0,3.0,{2},"{4,18}",363.0,10.767674585073099,106.60957106337901,"(106.609571063379,10.7676745850731)",62993778.1621869,,72.0,homedy_1176762,1581674966,1581674966.0,2020-02-14 17:17:02.884536,2.0,3.6,0101000020E61000005873593603A75A40F8B7A9A40C892540,1.0,2020-04-13 05:41:02.676877,2,7.0,False,2.0,,2f5927fa9fbbb861bbef21216a21d368,1.0,,0.0,0.0,60484e265b19110d9fc66388,0,10.760635,106.6069885,Quận Bình Tân
557,604330ed886de23638253f76,166043,6,https://landber.com/tin-dang/Ads_01_22243749,"Cần tiền bán gấp nhà 243/33 Mã Lò 5x16m 1 trệt lầu, hẻm 8m thông, giá 4tỷ3 TL. Khu nhà lầu","Cần tiền bán gấp.
Anh trai cần tiền hạ giá trong tuần giảm sâu từ 4 tỷ 500 bán nhanh 4.3tỷ.

Ace khách nét nhu cầu mua alo e.
- Có thương lượng chút cho khách mua nhanh.

Giá không gì rẻ hơn!
Nhà 1 trệt lầu ở liền.
1. Đất thổ cư (quy hoạch khu dân cư).
2. Dân cư đông đúc.
3. Đường xe công vô thoải mái.
4. Ngay nhiều khu công nghiệp - ngay cầu Tân Tạo.
5. Diện tích rộng phù hợp nhiều lựa chọn.
(xây phòng trọ - kho - biệt thự - ... ).
Vị trí: Ngay Ngã 3 lê Văn quới. Ao đôi.",Mã Lò,bình trị đông a,"khu công nghiệp, cầu, Ngã 3","cầu Tân Tạo, Mã Lò",đông đúc,3 phòng ngủ,243/33,1.0,2.0,1.0,2.0,4500000000,0,2.0,1.0,3.0,{2},"{5,16}",7.0,10.768121038955,106.602993521752,"(106.602993521752,10.768121038955)",54685667.4442873,,80.0,Ads_01_22243749,1573318800,1573980604.0,2020-02-12 08:49:25.145194,6.6,3.9,0101000020E6100000E4E7237297A65A40CF5C2B2947892540,1.0,2020-04-13 12:42:02.256056,9,7.0,False,2.0,,1b28f19082141ebd9a5a3dfc4db4e7d0,1.0,,2.0,0.0,60484e265b19110d9fc66389,0,10.7857697,106.5984284,Quận Bình Tân
558,604330ed886de23638253f79,124780,6,https://landber.com/tin-dang/Ads_01_22874033,"Kẹt tiền cần bán nhà gấp 55/16/3 Tây Lân, Bình Trị Đông A, Bình Tân","- Em có căn nhà 55/16/3 Tây Lân - Bình Trị Đông A - Bình Tân.
- Diện tích: 3x10m.

- Nhà đổ 3 tấm 4 phòng ngủ 3WC, hẻm 5m.
- Tiện ích xung quanh gần chợ, cách Quốc lộ 1A 200m, thuận tiện di chuyển các tỉnh thành Miền Tây, Hương Lộ 2...

- Giá: 2 tỷ 750 (TL).
- LH: 0901077771.
- Zalo: 0987420188.",Tây Lân,bình trị đông a,chợ,"Quốc lộ 1 A, Miền Tây, Hương Lộ 2",,4 phòng ngủ,55/16/3,1.0,2.0,1.0,2.0,2750000000,0,2.0,1.0,4.0,{2},"{3,10}",1.0,10.7719032030704,106.58674990779801,"(106.586749907798,10.7719032030704)",41299133.1392361,,30.0,Ads_01_22874033,1573578000,1574000891.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E61000000C3B7C4F8DA55A40CFBA89E5368B2540,1.0,2020-04-13 03:46:03.22292,1,8.0,False,3.0,901077771.0,5e3804178d4a8fb4d73d876c95013685,1.0,,2.0,0.0,60484e265b19110d9fc6638a,0,10.770027,106.586063,Quận Bình Tân
559,604330ed886de23638253f7d,167000,6,https://landber.com/tin-dang/Ads_01_23172272,Chính chủ cần bán gấp nhà mặt tiền 213 Mã Lò - Bình Trị Đông A - Bình Tân,"Cần bán gấp!
Nhà mặt tiền 213 Mã Lò, phường Bình Trị Đông A, Q Bình Tân.

DT: 4x25m (3,5 tấm).
Vị trí đẹp, gần chợ, siêu thị, bệnh viện, trường học cấp 1,2,3. Mặt tiền kinh doanh tốt.

Nhà hiện tại đang cho thuê 15tr/tháng.
Giá: 9 tỷ (TL).
LH: 0901077771.
Zalo: 0987420188.",Mã Lò,bình trị đông a,"chợ, siêu thị, bệnh viện, trường học",,,,,1.0,2.0,5.0,2.0,9000000000,15000000,2.0,1.0,1.0,"{2,1}","{4,25}",213.0,10.768054548761802,106.603226309909,"(106.603226309909,10.7680545487618)",99428486.2623405,,100.0,Ads_01_23172272,1573318800,1573980356.0,2020-02-12 08:49:25.145194,4.6,5.5,0101000020E6100000604986429BA65A40B0F320723E892540,1.0,2020-04-13 11:58:02.195727,6,9.0,False,2.0,901077771.0,e60d3b480d78f2925dfdc2f940f7fe47,1.0,,2.0,0.0,60484e265b19110d9fc6638b,0,10.7686003,106.6029362,Quận Bình Tân
560,604330ed886de23638253f7f,167826,6,https://landber.com/tin-dang/Ads_02_12958706,"Bán nhà riêng tại Đường Nguyễn Thị Tú, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh diện tích 140m2","Bán Nhà Hẻm 339/16 Nguyễn Thị Tú,BHH.B, Bình Tân.- Diện tích: 6.7×15.5,(N.Hậu 8.5m).- Hiện trạng: 1 trệt, 1 lầu.- pháp lý: sổ hồng cc, hoàn công đầy đủ- Hẻm xe hơi thôg ra chợ Bình Thành.- vị trí: cách MT 30m. Chợ 100m. Trường cấp 1.2.3 500m. Đang cho thuê 15tr/tháng.- Hướng: Đông.- Giá: 6.9 tỷ- Liên hệ: 0969722925 _ Lê Hạnh.- Địa chỉ: 54 Dương Đức Hiền, Tây Thạnh, Tân Phú,Tphcm- www.batdongsanlehanh.com","Nguyễn Thị Tú,Quận Bình Tân,Hồ Chí Minh",bình hưng hòa,"chợ, Chợ",chợ Bình Thành,,,,1.0,2.0,5.0,2.0,6900000000,15000000,3.0,2.0,3.0,{1},"{6.7,15.5}",21.0,10.816376549822099,106.59760334577899,"(106.597603345779,10.8163765498221)",26438605.1953057,đông,140.0,Ads_02_12958706,1573318800,1573980143.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E610000068861A223FA65A400C6A6D1BFCA12540,1.0,2020-04-13 12:17:02.027413,1,8.0,False,2.0,969722925.0,f9d1da5b033a6d6c898889c8d1fa47e1,1.0,,2.0,0.0,60484e265b19110d9fc6638c,0,10.8162872,106.6001701,Quận Bình Tân
561,604330ed886de23638253f80,328428,6,https://landber.com/tin-dang/Ads_02_13040476,"Bán nhà hẻm 151 Liên Khu 4-5, diện tích 4x16m, nhà 1 trệt, 2 lầu, giá bán 3,4 tỷ","Hàng chưa qua lái nhé.- Hẻm 151, Liên Khu 4-5, P. Bình Hưng Hòa B, Quận Bình Tân.- Diện tích 4x16m, nhà 1 trệt 2 lầu, hẻm nhựa 6m.- Giá tốt cho đầu tư và để ở.- Có ngân hàng BIDV hỗ trợ vay 60-70%.- Liền kề chợ, trường học.","Liên khu 4-5,Quận Bình Tân,Hồ Chí Minh",bình hưng hòa b,"chợ, trường học",,,3 phòng ngủ,,1.0,2.0,1.0,2.0,3400000000,0,2.0,3.0,3.0,{2},"{4,16}",151.0,10.798335349890802,106.592266199465,"(106.592266199465,10.7983353498908)",38976240.9879053,,64.0,Ads_02_13040476,1578416400,1578723905.0,2020-02-12 08:49:25.145194,3.7,3.6,0101000020E6100000994E7DB0E7A55A40250B3669BF982540,1.0,2020-04-13 02:38:01.97064,5,8.0,False,2.0,,a70412391b444094fc1d6a8ce5e96c95,1.0,,0.0,0.0,60484e265b19110d9fc6638d,0,10.7972895,106.5870349,Quận Bình Tân
